distance;force;result;datetime
8.536543;0.4637276;7.198035;24.090439
11.88082;0.4218328;10.3295;24.091437
11.93328;0.4211757;10.40282;24.092432
9.290559;0.4542818;7.685651;24.093429
7.265924;0.479645;6.024316;24.094427
5.460656;0.5022601;4.283926;24.095426
7.150292;0.4810936;5.743933;24.096424
12.45546;0.4146342;10.78079;24.09743
11.88082;0.7139902;0.0;25.678376
11.93328;0.7147802;0.0;25.685357
12.45546;0.7226443;0.0;25.720262
5.460656;0.6173015;0.8274058;25.952642
7.265924;0.6444891;0.7990058;26.05437
7.150292;0.6427477;1.159378;26.139143
8.536543;0.6636248;3.113931;26.546293
9.290559;0.6749804;1.888657;26.734805
11.88082;0.7290426;0.0;28.396279
11.93328;0.7299073;0.0;28.403256
5.460656;0.6232215;1.479031;28.770274
7.265924;0.6529771;1.968436;28.974728
7.150292;0.6510712;2.421453;29.06549
12.45546;0.7385142;2.205041;29.237026
9.290559;0.6863484;1.606145;29.271935
8.536543;0.6739202;0.8382978;29.481336
8.536543;0.6888199;0.0;30.998435
9.290559;0.702798;0.0;31.031346
11.88082;0.7508169;0.9029461;31.634727
11.93328;0.7517895;0.9334635;31.636709
5.460656;0.6317983;2.027677;31.738435
7.265924;0.6652648;1.896487;32.113023
12.45546;0.7614697;4.41614;32.114008
7.150292;0.6631212;1.58251;32.117
7.150292;0.6797315;0.0;33.591466
8.536543;0.7093457;0.0;33.692195
9.290559;0.7254535;0.0;33.742064
5.460656;0.6436363;1.562796;34.603411
7.265924;0.6822017;1.212485;34.620366
11.88082;0.7807885;-5.420443;34.778946
11.93328;0.7819092;-4.68467;34.786887
12.45546;0.7930644;-5.221857;34.79387
8.536543;0.6952667;0.0;36.330417
9.290559;0.7099113;0.0;36.364327
12.45546;0.7713807;0.88017;37.020578
11.88082;0.7602199;1.652305;37.091899
11.93328;0.7612388;1.997058;37.124806
5.460656;0.6355261;2.102869;37.142759
7.265924;0.6705884;0.0;37.185644
7.150292;0.6683426;1.124801;37.433528
7.265924;0.6799915;0.0;38.915823
8.536543;0.7066619;0.0;39.008548
9.290559;0.7224889;0.0;39.077363
5.460656;0.6420986;1.698718;39.90831
7.150292;0.6775643;1.319163;40.062897
11.88082;0.7768589;-3.619664;40.093816
11.93328;0.77796;-4.394651;40.106781
12.45546;0.7889206;3.5911;40.109772
8.536543;0.7079657;0.0;41.692078
9.290559;0.7239258;0.0;41.747932
5.460656;0.642859;1.661448;42.607678
7.265924;0.6810708;1.154536;42.60967
11.88082;0.7787534;-5.417929;42.767775
11.93328;0.7798638;-4.555693;42.775754
12.45546;0.7909167;0.0;42.784241
7.150292;0.6786232;1.24799;42.786236
8.536543;0.7009051;0.0;44.333721
9.290559;0.7161313;0.0;44.36763
5.460656;0.638792;1.973385;45.209377
11.88082;0.7684379;4.919579;45.413631
7.265924;0.6752468;1.218556;45.414625
11.93328;0.7694973;5.370848;45.416593
7.150292;0.6729118;0.5626509;45.41759
12.45546;0.7800419;4.770277;45.418585
